freq,unit,penscheme,na_item,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,MIO_EUR,S12P,D62_P,FI	: 	: 	: 	642 	658 	649 	645 	667 	634 	628 	: 	: 
A,MIO_EUR,S12P,D62_P,FR	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D62_P,HR	: 	: 	: 	6 	: 	: 	12 	: 	: 	31 	: 	: 
A,MIO_EUR,S12P,D62_P,HU	: 	: 	: 	: m	: m	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D62_P,IE	: 	: 	: 	3098 	: 	: 	3335 	: 	: 	3961 	: 	: 
A,MIO_EUR,S12P,D62_P,IS	: 	: 	: 	366 	: 	: 	619 	: 	: 	748 	: 	: 
A,MIO_EUR,S12P,D62_P,IT	: 	: 	: 	5896 	: 	: 	7261 	: 	: 	9497 	: 	: 
A,MIO_EUR,S12P,D62_P,LT	: 	13 	13 	15 	22 	29 	46 	84 	39 	45 	56 	: 
A,MIO_EUR,S12P,D62_P,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	310 	: 	: 
A,MIO_EUR,S12P,D62_P,LV	: 	: 	: 	5 	7 	9 	12 	15 	22 	28 	: 	: 
A,MIO_EUR,S12P,D62_P,MT	: m	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D62_P,NL	27528 	27769 	28522 	27805 	28874 	29724 	30211 	: 	: 	33720 	: 	: 
A,MIO_EUR,S12P,D62_P,NO	: 	: 	: 	2387 	2422 	2600 	2702 	2796 	2747 	3071 	: 	: 
A,MIO_EUR,S12P,D62_P,PL	: 	: 	: 	118 	: 	: 	291 	: 	: 	551 	: 	: 
A,MIO_EUR,S12P,D62_P,PT	: 	: 	: 	579 	: 	: 	670 	: 	: 	709 	: 	: 
A,MIO_EUR,S12P,D62_P,RO	: 	: 	: 	1 	: 	: 	8 	: 	: 	51 	: 	: 
A,MIO_EUR,S12P,D62_P,SE	9036 	10083 	10064 	10649 	10741 	11268 	10959 	11022 	12160 	13604 	: 	: 
A,MIO_EUR,S12P,D62_P,SI	: 	: 	: 	116 	: 	: 	95 	: 	: 	102 	: 	: 
A,MIO_EUR,S12P,D62_P,SK	: 	: 	: 	13 	: 	: 	16 	: 	: 	42 	: 	: 
A,MIO_EUR,S12P,D62_P,UK	: 	: 	: 	70842 	: 	: 	69177 	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D8,AT	: 	: 	: 	374 	: 	: 	542 	: 	: 	303 	: 	: 
A,MIO_EUR,S12P,D8,BE	: 	: 	: 	3163 d	: 	: 	3245 d	: 	: 	2540 d	: 	: 
A,MIO_EUR,S12P,D8,BG	: 	: 	: 	621 	789 	996 	428 	1227 	948 	1339 	: 	: 
A,MIO_EUR,S12P,D8,CH	17789 	18791 	21763 	24895 	22320 	22945 	20222 	25494 	23068 	23964 	: 	: 
A,MIO_EUR,S12P,D8,CY	: 	: 	: 	20 	: 	: 	125 	: 	: 	149 	: 	: 
A,MIO_EUR,S12P,D8,CZ	: 	1343 	: 	1319 	1211 	1259 	1414 	1492 	1511 	1599 	1091 	51 
A,MIO_EUR,S12P,D8,DE	65590 	: 	: 	61038 	: 	: 	66174 	: 	: 	67570 	: 	: 
A,MIO_EUR,S12P,D8,DK	: 	: 	: 	1854 	: @C	: 	1739 	: 	: 	1664 	: 	: 
A,MIO_EUR,S12P,D8,EE	: 	: 	: 	363 	: 	: 	398 	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D8,EL	: 	: 	: 	-7 	: 	: 	20 	: 	: 	26 	: 	: 
A,MIO_EUR,S12P,D8,ES	: 	: 	: 	-766 	: 	: 	-1183 	: 	: 	-166 	: 	: 
A,MIO_EUR,S12P,D8,FI	: 	: 	: 	-169 	-241 	-227 	-154 	-170 	-248 	-251 	: 	: 
A,MIO_EUR,S12P,D8,FR	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
